Name,center,fwhm,BBL_SUP,BND_SEL
B1,406.993,11.3522,0,0
B2,415.839,10.3772,0,0
B3,423.785,9.75085,0,0
B4,431.335,9.33258,0,1
B5,438.657,9.22605,0,1
B6,446.015,9.19563,0,1
B7,453.389,9.12398,0,1
B8,460.732,9.05917,0,1
B9,468.098,8.92017,0,1
B10,475.319,8.91463,0,1
B11,482.548,8.90811,0,1
B12,489.795,9.00745,0,1
B13,497.059,9.20635,0,1
B14,504.512,9.2927,0,1
B15,512.046,9.36691,0,1
B16,519.544,9.50707,0,1
B17,527.305,9.64145,0,1
B18,535.053,9.66956,0,1
B19,542.885,9.79513,0,1
B20,550.915,10.0175,0,1
B21,559.02,10.0598,0,1
B22,567.206,10.1739,0,1
B23,575.487,10.3127,0,1
B24,583.844,10.3959,0,1
B25,592.339,10.5541,0,1
B26,601.014,10.8267,0,1
B27,609.958,10.9241,0,1
B28,618.72,11.0715,0,1
B29,627.778,11.22,0,1
B30,636.676,11.1427,0,1
B31,645.964,11.5483,0,1
B32,655.419,11.6332,0,1
B33,664.894,11.7183,0,1
B34,674.464,11.8385,0,1
B35,684.137,11.9792,0,1
B36,694.128,12.036,0,1
B37,703.737,11.9822,0,1
B38,713.727,12.4825,0,1
B39,723.88,12.3492,0,1
B40,733.955,12.419,0,1
B41,744.15,12.5645,0,1
B42,754.47,12.6277,0,1
B43,764.856,12.805,0,1
B44,775.273,12.7443,0,1
B45,785.66,12.7641,0,1
B46,796.127,12.8545,0,1
B47,806.711,12.9482,0,1
B48,817.311,12.9563,0,1
B49,827.919,12.9877,0,1
B50,838.527,13.0089,0,1
B51,849.21,13.0884,1,1
B52,859.973,13.1459,1,1
B53,870.743,13.1715,1,1
B54,881.456,13.0432,0,1
B55,892.081,13.1061,0,1
B56,902.802,13.1104,0,1
B57,913.445,13.0663,1,1
B58,923.95,12.8808,1,1
B59,934.112,12.7541,1,1
B60,943.358,10.9413,1,1
B61,951.401,11.013,1,1
B62,959.974,12.2007,1,1
B63,969.845,12.1505,0,1
B64,979.224,12.1326,0,1
B65,988.918,12.2847,0,1
B66,998.908,12.6706,0,1
B67,1008.64,12.4516,0,1
B68,1018.54,12.9745,0,1
B69,1029.34,12.9565,0,1
B70,1037.99,13.5624,0,1
B71,1047.68,13.6314,0,1
B72,1057.57,13.8209,0,1
B73,1067.79,14.0452,0,1
B74,1078.22,14.1623,0,1
B75,1088.76,14.2853,1,1
B76,1099.28,14.2389,1,1
B77,1109.89,14.6081,1,1
B78,1120.68,14.1862,1,1
B79,1131.3,14.5442,1,1
B80,1142.07,14.3364,1,1
B81,1152.65,14.4742,1,1
B82,1163.68,14.8617,1,1
B83,1174.71,14.4599,0,1
B84,1185.59,14.5645,0,1
B85,1196.34,14.4694,0,1
B86,1207.27,14.7444,0,1
B87,1217.86,14.6008,0,1
B88,1229.19,14.8893,0,1
B89,1240.21,14.5253,0,1
B90,1250.98,14.983,1,1
B91,1262.53,15.1124,1,1
B92,1273.5,14.7477,1,1
B93,1284.49,14.7072,1,1
B94,1295.42,14.6244,0,1
B95,1306.22,14.6548,0,1
B96,1317.26,14.7363,0,1
B97,1328.3,14.81,1,0
B98,1339.13,14.6497,1,0
B99,1349.79,14.7646,1,0
B100,1361.05,15.2823,1,0
B101,1372.91,14.6896,1,0
B102,1383.28,15.1555,1,0
B103,1394.75,14.5248,1,0
B104,1405.63,14.5915,1,0
B105,1416.54,14.5122,1,0
B106,1427.37,14.2429,1,0
B107,1438.47,14.8791,1,0
B108,1449.19,13.9791,1,0
B109,1459.32,13.8823,1,0
B110,1469.93,14.4463,1,0
B111,1480.84,14.3511,1,0
B112,1491.43,14.1911,1,0
B113,1502.02,14.3282,0,1
B114,1512.63,14.1533,0,1
B115,1523.22,14.0889,0,1
B116,1533.78,14.1029,0,1
B117,1544.23,13.938,0,1
B118,1554.82,14.1493,0,1
B119,1565.37,13.9983,0,1
B120,1575.63,13.8127,0,1
B121,1585.86,13.9294,0,1
B122,1596.25,13.9013,0,1
B123,1606.49,13.7601,0,1
B124,1616.83,14.0209,0,1
B125,1627.02,13.6674,0,1
B126,1637.09,13.5717,0,1
B127,1647.23,13.3951,0,1
B128,1656.93,12.8582,0,1
B129,1667.19,13.4642,0,1
B130,1677.32,12.9949,0,1
B131,1687.43,13.0466,0,1
B132,1697.29,13.2268,0,1
B133,1707.09,13.2541,0,1
B134,1716.86,13.0204,0,1
B135,1726.65,12.811,0,1
B136,1736.49,12.8353,0,1
B137,1746.22,12.9755,0,1
B138,1755.83,13.0778,0,1
B139,1765.51,12.7134,0,1
B140,1775.12,12.4749,0,1
B141,1784.72,12.5951,1,1
B142,1793.95,12.7282,1,0
B143,1803.59,12.5481,1,0
B144,1813.05,12.3717,1,0
B145,1822.44,13.0794,1,0
B146,1832.03,12.4886,1,0
B147,1841.33,12.584,1,0
B148,1850.55,12.6217,1,0
B149,1859.56,12.3618,1,0
B150,1868.17,11.4657,1,0
B151,1878.74,12.5674,1,0
B152,1887.08,11.774,1,0
B153,1896.09,11.6358,1,0
B154,1904.93,12.7255,1,0
B155,1914.3,11.8971,1,0
B156,1923.39,12.1846,1,0
B157,1932.26,11.8102,1,0
B158,1941.11,11.9536,1,0
B159,1949.9,11.7271,1,0
B160,1958.62,11.5494,1,0
B161,1967.34,11.7353,1,0
B162,1976.01,11.5738,0,0
B163,1984.85,11.8159,0,0
B164,1993.55,11.4091,0,0
B165,2002.11,11.5391,0,1
B166,2010.66,11.3876,1,1
B167,2019.32,11.4336,0,1
B168,2027.73,11.2582,0,1
B169,2036.26,11.4237,0,1
B170,2044.68,11.1284,0,1
B171,2053.01,11.1708,0,1
B172,2061.38,11.0984,0,1
B173,2069.8,11.2635,0,1
B174,2077.99,11.0925,0,1
B175,2086.38,11.2049,0,1
B176,2094.63,11.0162,0,1
B177,2102.82,11.0089,0,1
B178,2111.04,10.9745,0,1
B179,2119.23,10.9609,0,1
B180,2127.34,10.8395,0,1
B181,2135.51,10.904,0,1
B182,2143.47,10.7109,0,1
B183,2151.39,10.7279,0,1
B184,2159.56,10.9797,0,1
B185,2167.48,10.4053,0,1
B186,2175.34,10.8181,0,1
B187,2183.42,10.4295,0,1
B188,2191.1,10.5348,0,1
B189,2199.14,10.7076,0,1
B190,2206.84,10.2539,0,1
B191,2214.62,10.569,0,1
B192,2222.43,10.32,0,1
B193,2230.01,10.49,0,1
B194,2237.9,10.4703,0,1
B195,2245.45,10.249,0,1
B196,2253.11,10.3534,0,1
B197,2260.87,10.3972,0,1
B198,2268.29,10.1057,0,1
B199,2276.05,10.3919,0,1
B200,2283.49,9.95032,0,1
B201,2290.83,10.2201,0,1
B202,2298.61,10.1406,0,1
B203,2305.72,9.81789,0,1
B204,2313.2,10.3867,0,1
B205,2320.9,9.86135,0,1
B206,2327.82,9.87342,0,1
B207,2335.53,10.235,0,1
B208,2342.82,9.7339,0,1
B209,2349.79,9.74175,0,1
B210,2357.29,10.1338,0,1
B211,2364.59,9.64241,0,1
B212,2371.55,9.70783,0,1
B213,2378.77,9.82816,0,0
B214,2386.06,9.87084,0,0
B215,2393.04,9.44856,0,0
B216,2400.04,9.84293,0,0
B217,2407.6,9.83366,0,0
B218,2414.36,9.11424,0,0
B219,2421.24,9.90752,0,0
B220,2428.67,9.63344,0,0
B221,2435.54,9.60992,0,0
B222,2442.4,8.92421,0,0
B223,2449.14,9.60746,0,0
B224,2456.59,9.56854,0,0
B225,2463.03,9.05948,0,0
B226,2469.63,9.32855,0,0
B227,2477.05,9.81114,0,0
B228,2483.79,9.12272,0,0
B229,2490.22,9.21801,0,0
B230,2497.12,9.729,0,0
